metric	n	median	mad	q01	q05	q25	q75	q95	q99	min	max
pctChimeras	346	0.21725	0.11905278000000001	0.09873000000000001	0.11322500000000002	0.16005	0.51295	0.8760249999999999	1.27347	0.09380000000000001	3.929
supplementaryRate	98	0.10523562608116906	0.005330912573241079	0.0943184765934631	0.09648880611137924	0.10272311013722957	0.10942250630670852	0.11747435933315124	0.14303594860644966	0.09405653910122282	0.15996088125205668
pctSoftclip	346	0.31835	0.16716315000000007	0.17767000000000002	0.18625	0.211725	0.49595	0.8879	1.1346000000000003	0.1701	2.4613
pctProperlyPaired	98	99.3991260727841	0.0727268760353672	99.02003057815435	99.22127679519159	99.35553429877038	99.45777105344881	99.53827756072899	99.579605889517	98.59049393394804	99.5969221586677
pctExcOverlap	346	1.5030999999999999	0.6737675699999999	0.71782	0.814725	1.101125	2.287575	3.872625	7.44013	0.5923999999999999	9.146700000000001
pctExcTotal	346	16.246900000000004	6.081476940000004	10.72803	11.426250000000001	13.871199999999998	26.5748	31.717725	34.31536000000001	10.280899999999999	40.3642
meanCoverage	346	94.48448300000001	17.02624141049999	30.240646400000003	30.640863250000002	83.00995350000001	105.93522225	153.758899	188.04954125000043	29.36537	661.439648
insertSizeAverage	98	406.95	17.7912	352.87199999999996	374.21	393.825	416.20000000000005	430.435	445.70200000000006	335.8	458.7
pctImproperPairs	346	1.1401	0.4427784900000001	0.453225	0.524525	0.707925	1.38255	1.957875	2.3583500000000024	0.4015	5.446
interChromRate	98	0.184249253441285	0.028404662527408878	0.11661746295001009	0.12776810767083385	0.16799198549081615	0.20711294757640988	0.274936941682341	0.3736960555569659	0.11642425024871304	0.5946047374432701
pctExcDupe	346	8.5185	4.162621889999999	4.830725	5.3219	6.496675	15.124325	21.448574999999998	23.103204999999996	4.304	25.6453
